id,r2,partistic,partistic_support,partistic_tree_confidence,clade,clade_support,clade_tree_cofidence,regression,placement,placement_support
CAP336_NEF_1_B_W23_QVOA_1,0.2991335405743206,138,1,0.7535934291581109,138,0.8571428571428571,0.8706365503080082,122.86176458687353,138,0.9975857152648111
CAP336_NEF_1_W28_QVOA_3,0.2991335405743206,138,1,0.7535934291581109,138,1,0.8706365503080082,133.78683330510358,138,0.9853940919837975
CAP336_NEF_1_B_W37_QVOA_1,0.2991335405743206,138,0.7058823529411765,0.7535934291581109,138,0.7222222222222222,0.8706365503080082,136.65110670065312,138,0.6273524572689291
CAP336_NEF_1_B_W31_QVOA_1,0.2991335405743206,138,1,0.7535934291581109,138,0.9795918367346939,0.8706365503080082,132.54337984396867,138,0.9937489264132081
CAP336_NEF_1_B_W13_QVOA_1,0.2991335405743206,138,1,0.7535934291581109,138,1,0.8706365503080082,131.18857234153808,138,0.9958815410834538
CAP336_NEF_1_B_W21_QVOA_5,0.2991335405743206,138,1,0.7535934291581109,138,0.875,0.8706365503080082,132.01754131562802,138,0.9831728903461507
CAP336_NEF_1_W12_QVOA_1,0.2991335405743206,100,1,0.580952380952381,138,0.6548223350253807,0.8706365503080082,112.90176422653926,100,0.9892256069099867
CAP336_NEF_1_W35_QVOA_1,0.2991335405743206,100,0.625,0.580952380952381,126,1,0.47735191637630664,113.53277046054802,126,0.9548956722915968
CAP336_NEF_1_B_W40_QVOA_1,0.2991335405743206,138,0.575,0.7535934291581109,138,0.5833333333333334,0.8706365503080082,116.74966498686716,100,0.7145934599905196
CAP336_NEF_1_B_W39_QVOA_1,0.2991335405743206,22,0.16666666666666666,0.18181818181818182,138,0.33125,0.8706365503080082,105.3482484253168,100,0.20420792905133217
CAP336_NEF_1_W11_QVOA_1,0.2991335405743206,100,0.375,0.580952380952381,51,0.5,0.48,108.5218386022432,051,0.30633324539740514
