id,r2,partistic,partistic_support,partistic_tree_confidence,clade,clade_support,clade_tree_cofidence,regression,placement,placement_support
CAP336_GAG_P17_W35_QVOA_1,0.6510059093424478,100,0.7894736842105263,0.9520958083832335,126,0.7142857142857143,0.9244186046511628,116.61459816341835,100,0.48340151962821976
CAP336_GAG_P17_B_W31_QVOA_1,0.6510059093424478,126,1,0.877906976744186,126,0.7857142857142857,0.9244186046511628,119.19981404448848,126,0.910135542309405
CAP336_GAG_P17_B_W37_QVOA_1,0.6510059093424478,126,1,0.877906976744186,126,1,0.9244186046511628,126.40148685604092,126,0.9213941352054265
CAP336_GAG_P17_B_W32_QVOA_5,0.6510059093424478,126,1,0.877906976744186,126,1,0.9244186046511628,114.02938228234825,126,0.6769062897995874
CAP336_GAG_P17_B_W23_QVOA_1,0.6510059093424478,126,0.7142857142857143,0.877906976744186,126,1,0.9244186046511628,125.75518288577342,138,0.2662196754578434
CAP336_GAG_P17_B_W40_QVOA_1,0.6510059093424478,126,0.5,0.877906976744186,126,0.6818181818181818,0.9244186046511628,128.5250570440628,126,0.6642322548585868
CAP336_GAG_P17_B_W13_QVOA_1,0.6510059093424478,126,0.6153846153846154,0.877906976744186,126,0.6818181818181818,0.9244186046511628,124.62415093780524,138,0.2821193723301306
CAP336_GAG_P17_B_W10_QVOA_3,0.6510059093424478,,,N/A,126,0.6818181818181818,0.9244186046511628,113.26766688881867,138,0.28517259493618174
CAP336_GAG_P17_W12_QVOA_1,0.6510059093424478,,,N/A,126,0.7850467289719626,0.9244186046511628,101.68035999330803,126,0.7131346452987946
CAP336_GAG_P17_B_W39_QVOA_1,0.6510059093424478,,,N/A,126,1,0.9244186046511628,120.00769400732287,126,0.9998021019788668
CAP336_GAG_P17_W11_QVOA_1,0.6510059093424478,100,0.875,0.9520958083832335,100,0.5714285714285714,0.8203592814371258,99.0951441122379,100,0.46592933786636626
