id,r2,partistic,partistic_support,partistic_tree_confidence,partistic_mean,partistic_variance,clade,clade_support,clade_tree_cofidence,clade_mean,clade_variance,placement,placement_support,placement_mean,placement_variance,regression
CAP257_NEF_1_W5_P2_QVOA,0.7420429702706872,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.3333333333333333,240,1,240,1.002937203424309,NaN
CAP257_NEF_1_W36_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.1,undefined,1,N/A,NaN,0.3333333333333333,240,0.7998066575148414,231.65368583920997,299.80312404157274,NaN
CAP257_NEF_1_W19_P1_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.16666666666666666,N/A,N/A,N/A,N/A,N/A,240,0.7997727298074291,231.65251359822656,299.8277588422174,NaN
CAP257_NEF_1_W15_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,240,0.5112981271269644,218.74077422179786,517.1939006437624,NaN
CAP257_NEF_1_W26_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,240,0.5112981271269644,218.74077422179786,517.1939006437624,NaN
CAP257_NEF_1_W29_P2_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,240,0.5112981271269644,218.74077422179786,517.1939006437624,NaN
CAP257_NEF_1_W31_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,240,0.5112981271269644,218.74077422179786,517.1939006437624,NaN
CAP257_NEF_1_W4_P1_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,240,0.5112981271269644,218.74077422179786,517.1939006437624,NaN
CAP257_NEF_1_W9_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,240,0.5112981271269644,218.74077422179786,517.1939006437624,NaN
CAP257_NEF_1_W7_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.06666666666666667,undefined,1,N/A,NaN,0.3333333333333333,240,0.5116053030929948,218.7520475903981,517.2227175210699,NaN
CAP257_NEF_1_W34_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.3333333333333333,240,1,240,1.0187354122112626,NaN
CAP257_NEF_1_W38_P1_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.25,240,0.8000162036985914,234.60043749986195,116.63291231082998,NaN
CAP257_NEF_1_W38_P2_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.045454545454545456,191,0.6155277341516356,185.54015483004008,431.6272632879218,NaN
CAP257_NEF_1_W14_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.3333333333333333,191,0.3333333346147103,214.66666667307356,401.5555570885096,NaN
CAP257_NEF_1_W28_QVOA,0.7420429702706872,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.034482758620689655,107,1,107,1.0010481060033092,NaN
CAP257_NEF_1_W18_P3_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.07142857142857142,191,0.5499497311140175,191.95049291037697,608.5444036071194,NaN
CAP257_NEF_1_W24_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.025,191,0.5499832928874475,191.9475844093154,608.4400476116975,NaN
CAP257_NEF_1_W37_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.025,191,0.5499832928874475,191.9475844093154,608.4400476116975,NaN
CAP257_NEF_1_W13_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,1,240,1,240,1.016369569762849,NaN
CAP257_NEF_1_W30_QVOA,0.7420429702706872,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.07142857142857142,191,0.5001006975019558,206.49687836445509,321.23367674070323,NaN
