id,r2,partistic,partistic_support,partistic_tree_confidence,partistic_mean,partistic_variance,clade,clade_support,clade_tree_cofidence,clade_mean,clade_variance,placement,placement_support,placement_mean,placement_variance,regression
CAP206_ENV_C4C5_B_W15_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.018518518518518517,undefined,1,N/A,NaN,0.005917159763313609,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W8_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.022222222222222223,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W35_P1_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.04,undefined,1,N/A,NaN,0.022222222222222223,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W14_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.05555555555555555,,,N/A,0,Infinity,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W7_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.05555555555555555,,,N/A,0,Infinity,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W6_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.058823529411764705,,,N/A,0,Infinity,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W11_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.1111111111111111,undefined,1,N/A,NaN,0.005917159763313609,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W27_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.1111111111111111,undefined,1,N/A,NaN,0.005917159763313609,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W22_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.037037037037037035,,,N/A,0,Infinity,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W8_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.047619047619047616,,,N/A,0,Infinity,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W2_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.03225806451612903,undefined,1,N/A,NaN,0.005917159763313609,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W6_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.058823529411764705,undefined,1,N/A,NaN,0.043478260869565216,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W12_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.011111111111111112,undefined,1,N/A,NaN,0.0008396305625524769,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W4_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.045454545454545456,undefined,1,N/A,NaN,0.0008396305625524769,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W9_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.038461538461538464,undefined,1,N/A,NaN,0.0008396305625524769,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W29_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.1111111111111111,undefined,1,N/A,NaN,1,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W12_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.045454545454545456,undefined,1,N/A,NaN,0.041666666666666664,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W5_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.2,undefined,1,N/A,NaN,0.007042253521126761,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W10_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.02631578947368421,undefined,1,N/A,NaN,0.004651162790697674,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_B_W24_QVOA,0.5518830845488918,undefined,1,N/A,NaN,0.1,undefined,1,N/A,NaN,0.09090909090909091,N/A,N/A,N/A,N/A,NaN
CAP206_ENV_C4C5_W1_QVOA,0.5518830845488918,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.0008032128514056225,N/A,N/A,N/A,N/A,NaN
