Name	Rearrangement	Support
CAP288_NEF_1_W43_QVOA	CAP288-4260-184WPI-NEF-1-NGS-020-0-016-1*1	0.6278170210034214
CAP288_NEF_1_W43_QVOA	CAP288-4260-184WPI-NEF-1-NGS-011-0-016-1*1	0.04052156327283701
CAP288_NEF_1_W43_QVOA	CAP288-4260-184WPI-NEF-1-NGS	0.3155650882774101
CAP288_NEF_1_W37_QVOA	CAP288-4260-184WPI-NEF-1-NGS-008-0-016-1*1	0.5988775095793426
CAP288_NEF_1_W37_QVOA	CAP288-4250-174WPI-NEF-1-NGS-022-0-037-1*1	0.1996258420380384
CAP288_NEF_1_W37_QVOA	CAP288-4260-184WPI-NEF-1-NGS-043-0-016-1*1	0.1999101508907647
CAP288_NEF_1_B_W3_QVOA	CAP288-4260-184WPI-NEF-1-NGS-051-0-016-1*1	0.08225038591024286
CAP288_NEF_1_B_W3_QVOA	CAP288-4260-184WPI-NEF-1-NGS-003-0-032-2*1	0.0822503764438066
CAP288_NEF_1_B_W3_QVOA	CAP288-4250-174WPI-NEF-1-NGS-020-0-037-1*1	0.0822503874220593
CAP288_NEF_1_B_W3_QVOA	CAP288-4260-184WPI-NEF-1-NGS-006-0-032-1*1	0.08225038356815147
CAP288_NEF_1_B_W3_QVOA	CAP288-4260-184WPI-NEF-1-NGS-050-0-016-1*1	0.08225038183561914
CAP288_NEF_1_B_W3_QVOA	CAP288-4260-184WPI-NEF-1-NGS-047-0-016-2*1	0.1645007049647171
CAP288_NEF_1_B_W3_QVOA	CAP288	0.3293708802027084
CAP288_NEF_1_B_W3_QVOA	CAP288-4260-184WPI-NEF-1-NGS	0.08382235917778906
CAP288_NEF_1_B_W44_QVOA	CAP288-4260-184WPI-NEF-1-NGS-013-0-016-1*1	0.1426004847002644
CAP288_NEF_1_B_W44_QVOA	CAP288-4220-134WPI-NEF-1-NGS-016-0-042-1*1	0.1426004859285027
CAP288_NEF_1_B_W44_QVOA	CAP288	0.7134042325434157
CAP288_NEF_1_W20_QVOA	CAP288-4250-174WPI-NEF-1-NGS-020-0-037-1*1	0.929079473829829
CAP288_NEF_1_W20_QVOA	CAP288	0.01961400767549628
CAP288_NEF_1_W20_QVOA	CAP288-4260-184WPI-NEF-1-NGS	0.01065635234566899
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS-034-0-016-1*1	0.0786436341045551
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS-031-0-016-1*1	0.0794937110715376
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS-051-0-016-1*1	0.07906459761508219
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS-003-0-032-2*1	0.07906459569811858
CAP288_NEF_1_W11_QVOA	CAP288-4250-174WPI-NEF-1-NGS-020-0-037-1*1	0.07906457943827518
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS-006-0-032-1*1	0.0790646286463922
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS-020-0-016-1*1	0.0174151625485755
CAP288_NEF_1_W11_QVOA	CAP288	0.3178561740916111
CAP288_NEF_1_W11_QVOA	CAP288-4260-184WPI-NEF-1-NGS	0.1775419025267994
CAP288_NEF_1_W7_QVOA	CAP288-4260-184WPI-NEF-1-NGS-014-0-016-1*1	0.3333324673834577
CAP288_NEF_1_W7_QVOA	CAP288-4250-174WPI-NEF-1-NGS-018-0-037-1*1	0.6666648247280529
